experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.8525454545454545,9,40218,40219,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,18,0.017578125,0.0065819999439999995,155575.81414649737,112690.76533433275,4463,2010,2029,8502,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,10,40220,40221,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,18,0.017578125,0.006677999941,153339.32450539386,111070.77233798605,4654,2057,2131,8842,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,11,40222,40223,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,16,0.015625,0.006773999938,151166.2251804408,113252.44152045314,4703,2093,2129,8925,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,12,40224,40225,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,15,0.0146484375,0.00670999994,152608.04905461744,116271.83088953579,4618,2148,2095,8861,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,13,40226,40227,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,16,0.015625,0.006677999941,153339.32450539386,114880.508927201,4590,2110,2008,8708,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,14,40228,40229,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,15,0.0146484375,0.006677999941,153339.32450539386,116828.98849736233,4689,2147,2157,8993,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,15,40230,40231,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,24,0.0234375,0.00670999994,152608.04905461744,99758.34827019279,4557,2159,2118,8834,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,16,40232,40233,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,20,0.01953125,0.00670999994,152608.04905461744,106854.77093147878,4734,2166,2153,9053,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,17,40234,40235,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,22,0.021484375,0.006613999943,154823.10384410596,104762.18783449387,4663,2071,2088,8822,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,18,40236,40237,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,11,0.0107421875,0.006773999938,151166.2251804408,123191.97582378493,4596,2128,2128,8852,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,19,40238,40239,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,14,0.013671875,0.006677999941,153339.32450539386,118809.06295752348,4514,2069,2081,8664,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,20,40240,40241,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,18,0.017578125,0.006613999943,154823.10384410596,112145.54241188253,4641,2072,2069,8782,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,21,40242,40243,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,15,0.0146484375,0.006677999941,153339.32450539386,116828.98849736233,4635,2005,2162,8802,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,22,40244,40245,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,17,0.0166015625,0.00670999994,152608.04905461744,112422.96191460622,4540,2108,2060,8708,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,23,40246,40247,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,11,0.0107421875,0.00670999994,152608.04905461744,124366.98123016924,4659,2066,2106,8831,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,24,40248,40249,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,14,0.013671875,0.00670999994,152608.04905461744,118242.46237185615,4695,2017,2013,8725,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,25,40250,40251,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,20,0.01953125,0.006773999938,151166.2251804408,105845.21894026274,4725,2068,2099,8892,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,26,40252,40253,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,13,0.0126953125,0.006677999941,153339.32450539386,120822.95926062949,4673,2052,2139,8864,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,27,40254,40255,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,12,0.01171875,0.006773999938,151166.2251804408,121131.90881674891,4623,2183,2179,8985,5.999998200501011e-07,150453.52108594033
