experimento,distancia_km,repeticion,mu,nu,y0,semilla_alice_mu,semilla_bob_mu,semilla_alice_nu,semilla_bob_nu,bits_tamizados_mu,errores_mu,qber_mu,claves_completadas_mu,tiempo_hasta_ultima_clave_s_mu,clics_detector_0_mu,clics_detector_1_mu,clics_detector_2_mu,bits_tamizados_nu,errores_nu,qber_nu,claves_completadas_nu,tiempo_hasta_ultima_clave_s_nu,clics_detector_0_nu,clics_detector_1_nu,clics_detector_2_nu,e1_cota_superior,e1_fallback_conservador,tasa_sin_senuelos_bps,tasa_con_senuelos_bps,clics_mu,clics_nu
estados_senuelo,23.88888888888889,24,0.1,0.05,2.3999997122992056e-07,50448,50449,60448,60449,256,1,0.00390625,1,0.006973222147,1120,527,566,256,1,0.00390625,1,0.009373222145999999,777,435,445,0.004053032831097068,False,0.0,131885.50106344442,2213,1657
estados_senuelo,23.88888888888889,25,0.1,0.05,2.3999997122992056e-07,50450,50451,60450,60451,256,0,0.0,1,0.007165222141,1148,554,574,256,2,0.0078125,1,0.009821222139,807,445,423,0.008166308047398922,False,0.0,134332.29508546213,2276,1675
estados_senuelo,23.88888888888889,26,0.1,0.05,2.3999997122992056e-07,50452,50453,60452,60453,256,1,0.00390625,1,0.007357222135,1101,615,552,256,0,0.0,1,0.00975722214,815,393,437,0.5,True,0.0,0.0,2268,1645
estados_senuelo,23.88888888888889,27,0.1,0.05,2.3999997122992056e-07,50454,50455,60454,60455,256,1,0.00390625,1,0.007165222141,1119,586,563,256,1,0.00390625,1,0.009821222139,873,438,414,0.004053032831097068,False,0.0,131885.50106344442,2268,1725
estados_senuelo,23.88888888888889,28,0.1,0.05,2.3999997122992056e-07,50456,50457,60456,60457,256,1,0.00390625,1,0.0072292221389999994,1075,540,589,256,0,0.0,1,0.009565222142999999,797,449,423,0.5,True,0.0,0.0,2204,1669
estados_senuelo,23.88888888888889,29,0.1,0.05,2.3999997122992056e-07,50458,50459,60458,60459,256,0,0.0,1,0.007325222136,1132,574,593,256,0,0.0,1,0.009565222142999999,819,475,440,0.5,True,0.0,0.0,2299,1734
estados_senuelo,33.333333333333336,0,0.1,0.05,2.3999997122992056e-07,50600,50601,60600,60601,256,0,0.0,1,0.00887333321,973,475,460,256,1,0.00390625,1,0.012617333214,731,398,390,0.004022063289140575,False,0.0,89805.3628232349,1908,1519
estados_senuelo,33.333333333333336,1,0.1,0.05,2.3999997122992056e-07,50602,50603,60602,60603,256,1,0.00390625,1,0.009001333206,906,506,461,256,1,0.00390625,1,0.012937333209,751,390,408,0.004022063289140575,False,0.0,85387.24023784188,1873,1549
estados_senuelo,33.333333333333336,2,0.1,0.05,2.3999997122992056e-07,50604,50605,60604,60605,256,3,0.01171875,1,0.008521333221,929,478,470,256,0,0.0,1,0.013193333205,779,410,418,0.5,True,0.0,0.0,1877,1607
estados_senuelo,33.333333333333336,3,0.1,0.05,2.3999997122992056e-07,50606,50607,60606,60607,256,1,0.00390625,1,0.008425333224,882,436,490,256,1,0.00390625,1,0.012617333214,741,413,388,0.004022063289140575,False,0.0,85387.24023784188,1808,1542
estados_senuelo,33.333333333333336,4,0.1,0.05,2.3999997122992056e-07,50608,50609,60608,60609,256,1,0.00390625,1,0.008489333222,937,461,508,256,1,0.00390625,1,0.011785333226999999,706,388,389,0.004022063289140575,False,0.0,85387.24023784188,1906,1483
estados_senuelo,33.333333333333336,5,0.1,0.05,2.3999997122992056e-07,50610,50611,60610,60611,256,0,0.0,1,0.009001333206,930,515,496,256,0,0.0,1,0.012745333212,744,390,388,0.5,True,0.0,0.0,1941,1522
estados_senuelo,33.333333333333336,6,0.1,0.05,2.3999997122992056e-07,50612,50613,60612,60613,256,1,0.00390625,1,0.009033333205,964,472,462,256,2,0.0078125,1,0.012361333218,728,387,404,0.008137195731625687,False,0.0,82552.14905867873,1898,1519
